age,income_level,education_level,financial_literacy,risk_tolerance,app_usage_frequency,time_reviewing_recs,follow_through_rate,override_frequency,savings_rate_change,investment_returns,budget_adherence,debt_reduction,net_worth_growth,trust_score,perceived_usefulness,perceived_accuracy,rec_type,risk_level,confidence_score,user_satisfaction,continued_usage,explanation_quality,transparency_rating,privacy_concerns,financial_outcomes
56,5,1,2,0.4634940438005723,6,9.261421755645744,0.853784921704667,0.4663097561401701,0.1203922801613459,6.57098413451703,0.4173947823291479,0.4603553731348269,-0.093234880031357,33,2,5,aggressive,5,0.933615377835094,4,1,4,4,4,3
69,5,5,3,0.3797857801792298,4,17.33204415968704,0.2419771303170453,0.0756997273097874,-0.1582181927599394,7.856891981582049,0.3768668803471885,0.7096713435045244,0.2638257709521204,40,1,3,aggressive,5,0.8673546391153578,2,1,1,4,4,1
46,5,1,2,0.8633336495718252,2,58.32042876316199,0.9606269755131998,0.3878260899169312,0.03074295245308,16.157391838415165,0.8759049249998946,0.9837115832091518,0.0078520035068731,32,5,5,aggressive,2,0.2336090320362368,3,1,4,4,1,1
32,3,1,2,0.519081785136218,6,20.549473419079995,0.1969257044534283,0.8035376594626034,-0.014407320733245,7.309448372530454,0.9052989990105156,0.050175350319974,0.2278708011121836,69,5,4,balanced,3,0.7783719045454912,2,0,2,4,5,2
60,4,1,1,0.4791818776297309,6,29.44042242861287,0.9514298103618324,0.9017740285462288,-0.1525163617963554,0.3644256117033713,0.49295697165586,0.0966945597875671,0.2997401201888801,17,1,4,aggressive,3,0.6085715931739742,5,1,5,2,1,5
25,2,3,3,0.0256420658064356,4,12.569765051565184,0.994819293965951,0.2034727424975958,0.1922272908242894,14.090356445789617,0.3301559503156044,0.7204567414627562,-0.0154274968004355,8,2,5,conservative,4,0.9709047114498696,1,0,4,3,5,4
38,3,3,3,0.3412478276261563,7,37.036024193470325,0.7117228057460487,0.0669736120252715,-0.1141216450146578,6.208366795622631,0.1068007040023636,0.281825003295472,0.0060682964733422,57,1,3,conservative,4,0.3736056595340591,5,1,3,4,1,1
56,5,1,5,0.380195618785857,3,17.560309715442482,0.981143731791822,0.8773504531328387,-0.1731063279637755,-7.621591461064248,0.953402879382095,0.184301396950099,0.1651439150538663,42,1,1,aggressive,5,0.6814606125171713,3,1,2,3,3,4
36,1,5,5,0.3988227808969005,7,13.21256212786718,0.5695397795671037,0.3894049389788753,0.0379389518007638,6.975516809397398,0.0602269449002974,0.0393618798197294,0.2861794538402485,98,5,2,balanced,2,0.0635357224239185,3,0,1,3,1,2
40,5,4,1,0.5801723692273323,4,31.477785078312763,0.2595417831760903,0.5417609642675633,0.095546670853213,17.240556362649873,0.2976502775682804,0.0218467119862018,0.2663257392762975,9,2,1,aggressive,3,0.3962473468164059,3,1,4,3,1,5
